target_id	name	pathway
Solyc01g067890	DXS	MEP
Solyc11g010850	DXS	MEP
Solyc08g066950	DXS	MEP
Solyc03g114340	DXR	MEP
Solyc01g102820	MCT	MEP
Solyc01g009010	CMK	MEP
Solyc08g081570	MDS	MEP
Solyc11g069380	HDS	MEP
Solyc01g109300	HDR	MEP
Solyc04g056390	IDI1	MEP
Solyc05g055760	IDI2	MVA
Solyc04g015100	AACT	MVA
Solyc05g017760	AACT	MVA
Solyc07g045350	AACT	MVA
Solyc08g007790	HMGS	MVA
Solyc08g080160	HMGS	MVA
Solyc08g080170	HMGS	MVA
Solyc12g056450	HMGS	MVA
Solyc02g038740	HMGR	MVA
Solyc02g082260	HMGR	MVA
Solyc03g032010	HMGR	MVA
Solyc03g032020	HMGR	MVA
Solyc01g098840	MVK	MVA
Solyc08g076140	pMVK	MVA
Solyc06g066310	pMVK	MVA
Solyc04g009650	MDC	MVA
Solyc11g007020	MDC	MVA
Solyc08g075390	Nudix	MVA
Solyc04g005520	IPK	MVA